smiles,hit0,hit1
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])c1nnc(C([H])([H])C([H])([H])[H])s1,x0407c,x0606c
[H]N(C1:C(C([H])([H])[H]):C([S@@H](C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(N([H])[H])N([H])C(=O)[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])NS1)C([H])([H])C([H])([H])[H],x0407c,x0504c
[H]O[S@H]1[C@]([H])(N(C(=O)[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H])N([H])N([H])[C@@]12N([H])C([H])([H])C([H])([H])OC2([H])[H],x0407a,x0501b
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])c1nnc(C([H])([H])C([H])([H])[H])s1,x0407a,x0407b
[H]C1=N[C@@]([H])([C@]2([H])O[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])N([H])C2SC(C([H])([H])C([H])([H])[H])NN12,x0407a,x0419a
[H]C1=N[C@@]([H])([C@]2([H])O[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])N([H])C2SC(C([H])([H])C([H])([H])[H])NN12,x0407a,x0419c
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C1=NN(C([H])([H])[H])C(C([H])([H])C([H])([H])[H])=[S@SP2]1Cl,x0407a,x0421a
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C1=NN(C([H])([H])[H])C(C([H])([H])C([H])([H])[H])=[S@SP2]1Cl,x0407a,x0421b
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C1=NN(C([H])([H])[H])C(C([H])([H])C([H])([H])[H])=[S@SP2]1Cl,x0407a,x0421c
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C1=NN(C([H])([H])[H])C(C([H])([H])C([H])([H])[H])=[S@SP2]1Cl,x0407a,x0421d
[H]C1=N[C@@]([H])([C@]2([H])O[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])N([H])C2SC(C([H])([H])C([H])([H])[H])NN12,x0407a,x0426a
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H])c1nnc(C([H])([H])C([H])([H])[H])s1,x0407a,x0434a
[H]N(C(=O)[C@]1([H])O[C@@]([H])(F)C([H])([H])[C@]1([H])C([H])([H])[H])c1nnc(C([H])([H])C([H])([H])[H])s1,x0407a,x0485a
[H]O[C@]1(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]12C([H])([H])C([H])([H])[C@@]1(S[C@@]([H])(C([H])([H])C([H])([H])[H])N([H])N1[H])C([H])([H])[C@]2([H])O[H],x0407a,x0489a
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H])c1nnc(C([H])([H])C([H])([H])[H])s1,x0407a,x0492a
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H])c1nnc(C([H])([H])C([H])([H])[H])s1,x0407a,x0492b
[H]N1C([H])([H])N(C(=O)[C@]2([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])([N+]([H])([H])[H])C([H])([H])C2([H])[H])[C@]2(OC([H])([H])C1([H])[H])S[C@@]([H])(C([H])([H])C([H])([H])[H])N([H])N2[H],x0407a,x0540a
[H]N(C(=O)[C@]1([H])O[C@@]([H])(C([H])([H])[H])C([H])([H])C1([H])[H])C1SC(C([H])([H])C([H])([H])[H])NN1OC([H])([H])[H],x0407a,x0555a
